46	34	14	3	0	0	0	1
50	34	15	2	0	0	0	1
44	29	14	2	0	0	0	1
49	31	15	1	0	0	0	1
54	37	15	2	0	0	0	1
48	34	16	2	0	0	0	1
48	30	14	1	0	0	0	1
43	30	11	1	0	0	0	1
58	40	12	2	0	0	0	1
57	44	15	4	0	0	0	1
54	39	13	4	0	0	0	1
51	35	14	3	0	0	0	1
57	38	17	3	0	0	0	1
51	38	15	3	0	0	0	1
54	34	17	2	0	0	0	1
51	37	15	4	0	0	0	1
46	36	10	2	0	0	0	1
51	33	17	5	0	0	0	1
48	34	19	2	0	0	0	1
50	30	16	2	0	0	0	1
50	34	16	4	0	0	0	1
52	35	15	2	0	0	0	1
52	34	14	2	0	0	0	1
47	32	16	2	0	0	0	1
48	31	16	2	0	0	0	1
54	34	15	4	0	0	0	1
52	41	15	1	0	0	0	1
55	42	14	2	0	0	0	1
49	31	15	1	0	0	0	1
50	32	12	2	0	0	0	1
55	35	13	2	0	0	0	1
49	31	15	1	0	0	0	1
44	30	13	2	0	0	0	1
51	34	15	2	0	0	0	1
50	35	13	3	0	0	0	1
45	23	13	3	0	0	0	1
44	32	13	2	0	0	0	1
50	35	16	6	0	0	0	1
51	38	19	4	0	0	0	1
48	30	14	3	0	0	0	1
51	38	16	2	0	0	0	1
46	32	14	2	0	0	0	1
53	37	15	2	0	0	0	1
50	33	14	2	0	0	0	1
63	33	47	16	0	0	0	2
49	24	33	10	0	0	0	2
66	29	46	13	0	0	0	2
52	27	39	14	0	0	0	2
50	20	35	10	0	0	0	2
59	30	42	15	0	0	0	2
60	22	40	10	0	0	0	2
61	29	47	14	0	0	0	2
56	29	36	13	0	0	0	2
67	31	44	14	0	0	0	2
56	30	45	15	0	0	0	2
58	27	41	10	0	0	0	2
62	22	45	15	0	0	0	2
56	25	39	11	0	0	0	2
59	32	48	18	0	0	0	2
61	28	40	13	0	0	0	2
63	25	49	15	0	0	0	2
61	28	47	12	0	0	0	2
64	29	43	13	0	0	0	2
66	30	44	14	0	0	0	2
68	28	48	14	0	0	0	2
67	30	50	17	0	0	0	2
60	29	45	15	0	0	0	2
57	26	35	10	0	0	0	2
55	24	38	11	0	0	0	2
55	24	37	10	0	0	0	2
58	27	39	12	0	0	0	2
60	27	51	16	0	0	0	2
54	30	45	15	0	0	0	2
60	34	45	16	0	0	0	2
67	31	47	15	0	0	0	2
63	23	44	13	0	0	0	2
56	30	41	13	0	0	0	2
55	25	40	13	0	0	0	2
55	26	44	12	0	0	0	2
61	30	46	14	0	0	0	2
58	26	40	12	0	0	0	2
50	23	33	10	0	0	0	2
56	27	42	13	0	0	0	2
57	30	42	12	0	0	0	2
57	29	42	13	0	0	0	2
62	29	43	13	0	0	0	2
51	25	30	11	0	0	0	2
57	28	41	13	0	0	0	2
49	25	45	17	0	0	0	3
73	29	63	18	0	0	0	3
67	25	58	18	0	0	0	3
72	36	61	25	0	0	0	3
65	32	51	20	0	0	0	3
64	27	53	19	0	0	0	3
68	30	55	21	0	0	0	3
57	25	50	20	0	0	0	3
58	28	51	24	0	0	0	3
64	32	53	23	0	0	0	3
65	30	55	18	0	0	0	3
77	38	67	22	0	0	0	3
77	26	69	23	0	0	0	3
60	22	50	15	0	0	0	3
69	32	57	23	0	0	0	3
56	28	49	20	0	0	0	3
77	28	67	20	0	0	0	3
63	27	49	18	0	0	0	3
67	33	57	21	0	0	0	3
72	32	60	18	0	0	0	3
62	28	48	18	0	0	0	3
61	30	49	18	0	0	0	3
64	28	56	21	0	0	0	3
72	30	58	16	0	0	0	3
74	28	61	19	0	0	0	3
79	38	64	20	0	0	0	3
64	28	56	22	0	0	0	3
63	28	51	15	0	0	0	3
61	26	56	14	0	0	0	3
77	30	61	23	0	0	0	3
63	34	56	24	0	0	0	3
64	31	55	18	0	0	0	3
60	30	48	18	0	0	0	3
69	31	54	21	0	0	0	3
67	31	56	24	0	0	0	3
69	31	51	23	0	0	0	3
58	27	51	19	0	0	0	3
68	32	59	23	0	0	0	3
67	33	57	25	0	0	0	3
67	30	52	23	0	0	0	3
63	25	50	19	0	0	0	3
65	30	52	20	0	0	0	3
62	34	54	23	0	0	0	3
59	30	51	18	0	0	0	3
